,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
0,-1.3028764682671954,2.003823314064892,-2.2970147781881796,-1.7354646975277257,-1.176127575662673,0.35945499710500695,-0.17852413587906832,0.092418723303466,-0.36515661989864545
1,11.37068204519961,1.7090071235904614,5.995158581416778,-0.9320952021178818,2.8634118703756566,3.2183013317492577,-0.47212300093167564,0.7113022984218652,-0.8327836239043582
2,1.0974605684807872,2.403321945913597,-0.7213151248750864,-1.522268484991435,-0.36136513721445157,1.280826918989646,-0.4381017412477696,0.28652173262255687,-0.43878186324656143
3,-1.6013491780405396,2.3172576986471856,-2.0637085329169667,-1.6284829648612347,-1.8173106951425633,0.6032557590617393,-0.37703985694834846,1.3989194245045242,0.5203195220413478
4,-7.074164412672435,-7.673818967783283,2.8106524228913874,-4.416465368738768,2.5625330841054894,-0.2703941689544152,-1.86692658066326,0.9119438927645154,1.7034711344968414
5,-9.461921331295034,3.41877006646282,5.471278992540586,2.4410493889979117,3.6026583497102576,-0.2814415132049996,-3.4115120665777803,0.24094030041406855,0.5996389981224485
6,10.42245243380991,1.7866490609704195,4.194752812229152,-0.7189111610739521,1.4844816619477694,1.4782432905426945,-0.237931778626973,0.08487876261640012,0.01532656427063463
7,-8.260317267070556,2.9855311030678933,5.298249830056723,2.5356856312078615,2.7458123430998977,-0.2926122113821375,-2.528162616566734,0.21395980807050075,0.49753971639270467
8,-2.745827739054742,-2.2418272265786525,3.741374867788511,0.7378438602993305,-1.5518093848562982,-0.2938412103087757,1.4507767412959955,-0.16841741996567322,-0.9538243751101905
9,-5.40254428428579,-11.929275911344922,2.5111709963857347,-6.0518828391694335,1.5814541302048055,-0.6609050409632877,-0.011281499111722956,-0.24472771446436128,-0.7233613046608053
10,0.0542555481763584,0.6779613297895447,-1.377573544158309,-2.566155322706713,-0.5655242735970731,-0.04337957461738486,-0.20384655391995782,0.18976633382994826,-0.1557746343818594
11,4.911226859967579,-2.174602814289646,-2.44620523829809,4.161465777077678,-0.4748627663321433,-1.625509458122746,-0.5034776033055978,-0.07932583169415991,-0.6781967219739368
12,6.630506148881723,-0.29235334271070756,-0.5700587053576658,2.2074524378093177,-0.7787858832545246,-2.2180826313413537,0.41945855566925105,-0.9252398966305608,-0.014405883679996864
13,-2.7541813659841967,-2.2755134754098614,3.7441147576587,0.8207974168341623,-1.5732748981859026,-0.3095991565288254,1.4244806918287223,-0.09922649735056142,-1.001388087031777
14,9.532303849817177,1.6693863861533245,3.2446920332163116,-0.3403473298630925,0.5146386770508955,0.19494633946284143,0.11566174675426762,-0.1200737356397686,0.31838286971911484
15,3.8317264319347855,-4.728355740194022,-4.36438745368009,5.753432092689648,-0.2100991440231121,-1.0073610924988123,-2.0486886803002275,1.3854606932548335,-0.46625188071412976
16,2.317226335813394,1.9246108396370216,-0.9291597269143439,-0.5472285767905529,-0.7871551704735492,-0.8757354350769391,-0.16548306057915346,-0.1559397103502449,-0.12612414497275842
17,-3.1277236631553054,1.1743014438004082,4.335534346366241,2.8772952746860856,-0.900265736250926,-0.3514669172414228,1.2097990169733879,0.04610129095764359,0.22057558167723434
18,-1.7271892184814988,2.47050924736917,-2.2614601502681926,-1.5294441086868424,-1.6264582272805173,0.6407155854087194,-0.31173768094399174,0.983469374705767,0.08812735013363288
19,-0.5854125267611784,1.2952087487231017,-1.811314690489579,-2.165417329676777,-0.8562585427232768,0.16337885172781957,-0.15839366615962816,0.12086648761109572,-0.23498959753823978
20,3.694211792658161,-5.88590953043252,-4.641132196156855,4.693696451463664,-0.21519445637386203,-0.7500937459153548,-1.9050995330916325,1.2960065296793306,-0.3205700201792231
21,-3.133614004419499,-3.609685096944418,3.5731953127051885,-0.2254845658402775,-1.1159238223128733,-0.3320245281781593,1.275693588035558,-0.1572879521597782,-0.925428453787494
22,7.531942078867008,0.6976668538713486,0.3994922955201057,1.1886725863854541,-0.9453718149666536,-2.516669501843124,0.9185266800146069,-1.3781029127529856,0.3441606960243492
